Symbol,Date,Open,High,Low,Close,Percent Change,Volume,52High,52Low
EHPL,2026-03-19,460.0,470.0,456.0,456.1,-0.85,122335.0,790.6,385.0
ENL,2026-03-19,920.2,967.0,920.2,959.7,4.29,3681.0,1289.8,866.0
FMDBL,2026-03-19,817.0,842.0,817.0,842.0,3.06,72283.0,1038.8,718.0
FOWAD,2026-03-19,1108.0,1108.0,1088.0,1108.0,0.0,7378.0,1324.4,1012.4
GBBD85,2026-03-19,1081.7,1116.0,1081.7,1116.0,3.17,291.0,1135.0,1020.1
GBBL,2026-03-19,420.0,437.0,420.0,434.0,3.33,114243.0,498.0,367.4
GBILD84/85,2026-03-19,1214.0,1214.0,1214.0,1214.0,0.0,25.0,1238.0,1104.0
GBIME,2026-03-19,237.0,251.0,237.0,249.0,5.06,413913.0,278.9,210.7
GBIMESY2,2026-03-19,9.3,9.42,9.3,9.4,1.08,7000.0,10.18,8.5
GBLBS,2026-03-19,799.8,799.8,782.2,796.9,-0.36,10374.0,950.0,698.0
GCIL,2026-03-19,440.0,456.0,440.0,451.1,2.52,79979.0,579.0,400.0
GFCL,2026-03-19,684.0,685.0,662.0,682.0,-0.29,33851.0,756.8,528.3
GHL,2026-03-19,285.0,290.0,280.3,283.4,-0.56,835647.0,299.0,197.1
GIBF1,2026-03-19,10.9,11.1,10.9,11.02,1.1,3800.0,11.68,9.3
GILB,2026-03-19,1156.0,1199.0,1156.0,1188.0,2.77,3192.0,1441.6,1100.0
GLBSL,2026-03-19,1900.0,1957.8,1900.0,1937.3,1.96,3735.0,3232.0,1838.6
GLH,2026-03-19,310.0,318.0,304.2,308.1,-0.61,975850.0,328.2,227.4
GMFBS,2026-03-19,1470.0,1472.5,1447.0,1460.0,-0.68,2479.0,1871.0,1385.1
GMFIL,2026-03-19,485.5,500.6,485.5,498.0,2.57,58397.0,557.0,393.1
GMLI,2026-03-19,1745.0,1769.9,1745.0,1755.0,0.57,4198.0,2778.0,1694.0
GRDBL,2026-03-19,1086.9,1184.9,1086.9,1166.0,7.28,41592.0,1668.4,944.0
GSY,2026-03-19,9.8,9.99,9.79,9.9,1.02,91566.0,10.4,8.7
GUFL,2026-03-19,579.7,596.5,579.7,592.0,2.12,40355.0,644.0,460.6
GVL,2026-03-19,510.5,517.0,510.0,511.5,0.2,144633.0,662.0,424.0
H8020,2026-03-19,11.61,11.78,11.44,11.68,0.6,12910.0,12.21,10.0
HATHY,2026-03-19,936.0,960.0,930.0,951.0,1.6,17944.0,1469.8,875.5
HBL,2026-03-19,217.0,230.4,217.0,225.8,4.06,543241.0,261.0,184.0
