Symbol,Date,Open,High,Low,Close,Percent Change,Volume,52High,52Low
SMFBS,2026-03-10,1751.9,1751.9,1640.0,1697.0,-3.13,4739.0,2026.0,1490.0
SMH,2026-03-10,673.2,686.2,652.0,660.0,-1.96,56694.0,1065.0,603.0
SMHL,2026-03-10,512.0,514.0,482.0,495.0,-3.32,491459.0,1230.0,443.0
SMJC,2026-03-10,502.8,512.8,484.1,499.0,-0.76,47135.0,680.0,464.0
SMPDA,2026-03-10,928.0,928.0,893.3,903.0,-2.69,6327.0,1155.0,840.0
SNLI,2026-03-10,500.0,503.5,480.2,500.0,0.0,113710.0,716.0,411.6
SONA,2026-03-10,465.0,468.0,444.3,451.0,-3.01,165208.0,523.3,398.0
SPC,2026-03-10,536.0,536.0,506.0,518.9,-3.19,24854.0,591.0,441.0
SPDL,2026-03-10,438.0,438.0,408.1,416.0,-5.02,157238.0,465.0,308.9
SPHL,2026-03-10,572.2,583.6,560.0,563.5,-1.52,33932.0,826.0,477.1
SPIL,2026-03-10,768.3,768.3,718.0,736.0,-4.2,18425.0,894.5,625.0
SPL,2026-03-10,779.0,779.0,736.7,745.0,-4.36,34131.0,1035.0,696.3
SRLI,2026-03-10,420.0,426.0,405.0,412.0,-1.9,133543.0,451.1,363.9
SSHL,2026-03-10,217.6,225.0,205.0,215.0,-1.19,1741673.0,313.8,151.0
STC,2026-03-10,6294.0,6295.0,6060.0,6204.9,-1.42,5582.0,6335.9,4832.0
SWASTIK,2026-03-10,3100.0,3100.0,2945.0,2987.0,-3.65,4895.0,3400.0,391.7
SWBBL,2026-03-10,792.0,792.0,763.0,777.0,-1.89,28888.0,1046.5,718.0
SWMF,2026-03-10,696.0,710.0,686.0,698.4,0.34,21219.0,868.1,641.1
SYPNL,2026-03-10,2060.0,2060.0,1930.6,1940.0,-5.83,206056.0,2255.9,319.8
TAMOR,2026-03-10,455.0,455.0,433.0,440.0,-3.3,48603.0,576.0,409.0
TPC,2026-03-10,416.0,416.1,398.0,405.0,-2.64,332774.0,616.0,270.1
TRH,2026-03-10,785.0,800.0,775.0,783.4,-0.2,15332.0,1119.0,681.1
TSHL,2026-03-10,818.2,875.0,763.0,875.0,6.94,41097.0,989.0,616.8
TTL,2026-03-10,1018.0,1018.0,963.0,979.8,-3.75,115728.0,1262.8,366.1
TVCL,2026-03-10,689.0,689.0,612.5,643.0,-6.68,55974.0,689.0,377.6
UAIL,2026-03-10,475.0,480.0,460.0,472.0,-0.63,85841.0,701.0,422.1
UHEWA,2026-03-10,616.8,641.0,585.5,596.9,-3.23,43176.0,930.0,508.5
ULBSL,2026-03-10,3468.0,3468.0,3207.0,3345.0,-3.55,1618.0,4325.0,2931.0
ULHC,2026-03-10,599.0,599.0,566.1,570.0,-4.84,51881.0,599.0,411.7
UMHL,2026-03-10,669.0,669.0,632.0,642.0,-4.04,122827.0,706.0,420.1
UMRH,2026-03-10,622.0,622.0,573.0,589.0,-5.31,57199.0,675.0,526.0
UNHPL,2026-03-10,525.0,525.0,495.1,497.0,-5.33,404926.0,554.7,290.0
UNLB,2026-03-10,1966.3,1966.3,1911.0,1915.0,-2.61,1553.0,2480.0,1810.0
