Symbol,Date,Open,High,Low,Close,Percent Change,Volume,52High,52Low
GLH,2026-02-25,260.1,267.0,260.1,265.0,1.88,37448.0,306.3,227.4
GMFBS,2026-02-25,1413.0,1440.0,1390.0,1440.0,1.91,522.0,1916.0,1385.1
GMFIL,2026-02-25,449.0,468.0,449.0,457.7,1.94,5195.0,579.1,393.1
GMLI,2026-02-25,1700.0,1739.4,1700.0,1739.4,2.32,2401.0,2778.0,962.8
GRDBL,2026-02-25,1056.1,1090.0,1049.0,1068.9,1.21,6110.0,1668.4,944.0
GSY,2026-02-25,9.32,9.59,9.32,9.47,1.61,7800.0,10.4,8.7
GUFL,2026-02-25,549.0,549.0,538.0,543.9,-0.93,5333.0,685.4,460.6
GVL,2026-02-25,480.0,489.0,480.0,485.0,1.04,19225.0,662.0,424.0
H8020,2026-02-25,11.28,11.73,11.28,11.73,3.99,3900.0,12.21,9.99
HATHY,2026-02-25,900.0,912.9,900.0,902.0,0.22,5914.0,1600.0,875.5
HBL,2026-02-25,187.0,189.9,187.0,187.5,0.27,39655.0,261.0,184.0
HBLD86,2026-02-25,1170.0,1170.0,1170.0,1170.0,0.0,25.0,1201.0,1095.1
HDHPC,2026-02-25,194.0,195.7,191.0,193.0,-0.52,112114.0,225.9,162.0
HDL,2026-02-25,1146.0,1149.0,1135.0,1138.0,-0.7,26569.0,1556.1,1103.0
HEI,2026-02-25,514.7,514.7,503.0,504.7,-1.94,9104.0,685.0,458.0
HEIP,2026-02-25,314.9,314.9,314.9,314.9,0.0,10.0,414.7,293.1
HHL,2026-02-25,330.0,336.0,330.0,334.8,1.45,13769.0,607.4,310.7
HIDCL,2026-02-25,262.9,263.0,258.0,259.2,-1.41,58412.0,340.0,245.0
HIDCLP,2026-02-25,190.0,193.8,190.0,191.8,0.95,96234.0,239.0,167.0
HIMSTAR,2026-02-25,970.2,1005.0,951.0,1000.0,3.07,22686.0,1264.0,252.2
HLBSL,2026-02-25,901.3,929.0,901.3,908.1,0.75,803.0,1122.0,837.0
HLI,2026-02-25,361.0,377.0,360.2,366.3,1.47,63534.0,477.0,354.8
HLICF,2026-02-25,9.0,9.33,9.0,9.15,1.67,1730.0,10.55,8.74
HPPL,2026-02-25,500.0,500.0,464.0,472.0,-5.6,197826.0,711.0,411.1
HRL,2026-02-25,833.0,846.0,830.0,837.0,0.48,32452.0,1156.0,762.1
HURJA,2026-02-25,255.0,257.4,253.0,256.8,0.71,101469.0,295.0,204.6
ICFC,2026-02-25,644.0,652.0,640.0,645.0,0.16,5923.0,730.9,555.0
ICFCD83,2026-02-25,1113.0,1113.0,1113.0,1113.0,0.0,190.0,1368.9,1113.0
ICFCD88,2026-02-25,1138.0,1138.0,1138.0,1138.0,0.0,25.0,1216.0,1000.0
IGI,2026-02-25,422.0,422.0,415.1,420.0,-0.47,5994.0,664.2,392.0
IHL,2026-02-25,517.0,521.0,509.5,515.0,-0.39,8870.0,781.0,490.0
ILBS,2026-02-25,917.0,944.0,917.0,934.9,1.95,1754.0,1311.0,795.2
ILI,2026-02-25,435.0,442.8,435.0,442.7,1.77,11690.0,520.0,405.0
JBBL,2026-02-25,332.0,332.0,326.0,328.6,-1.02,36101.0,413.0,295.0
JBBLPO,2026-02-25,187.0,187.0,187.0,187.0,0.0,2437.0,188.3,187.0
JBLB,2026-02-25,1304.0,1320.0,1300.1,1320.0,1.23,3932.0,1644.0,1270.7
JFL,2026-02-25,421.0,423.9,415.0,416.2,-1.14,3596.0,620.0,395.0
JHAPA,2026-02-25,1393.9,1402.0,1366.1,1400.0,0.44,6660.0,1749.0,293.4
JOSHI,2026-02-25,290.0,296.8,287.1,290.0,0.0,31405.0,487.0,254.0
JSLBB,2026-02-25,1130.0,1135.0,1120.0,1120.0,-0.88,469.0,1739.0,1059.0
