Date,Open,High,Low,Close,Volume,Symbol,EMA_10,EMA_25,EMA_Difference,Monthly_Crossover,EMA_Gap_%
2026-02-28,264.2,269.4,264.2,269.4,30.0,NLO,260.97,259.89,1.08,True,0.42
2026-02-28,155.3,160.9,151.2,157.7,353906.0,NIMBPO,155.33,155.02,0.3,True,0.2
2026-02-28,9.55,9.84,9.35,9.7,381781.0,LVF2,9.59,9.57,0.01,True,0.15
2026-02-28,9.73,10.09,9.55,9.8,75804.0,LUK,9.74,9.74,0.01,True,0.08
2026-02-28,9.01,9.48,8.96,9.46,263281.0,NICFC,9.21,9.17,0.03,True,0.35
2026-02-28,10.03,10.38,10.0,10.26,203472.0,SFMF,10.13,10.11,0.02,True,0.17
2026-02-28,9.61,10.01,9.51,9.63,71324.0,C30MF,9.6,9.59,0.0,True,0.04
2026-02-28,11.32,11.9,11.2,11.52,291089.0,H8020,11.51,11.51,0.0,True,0.01
2026-02-28,9.07,10.11,8.98,9.46,115317.0,RBBF40,9.29,9.27,0.02,True,0.24
2026-02-28,9.81,10.25,9.79,10.24,104106.0,CMF2,10.04,10.02,0.03,True,0.25
2026-02-28,1050.8,1071.0,1050.0,1054.0,740.0,ADBLD83,1051.55,1051.23,0.31,True,0.03
2026-02-28,270.0,270.0,270.0,270.01,179880.0,PMLIP,270.0,270.0,0.0,True,0.0
2026-02-28,1101.0,1117.0,1090.5,1091.1,962.0,NBLD87,1083.65,1082.7,0.95,True,0.09
2026-02-28,788.0,1185.0,780.0,892.0,219137.0,KDL,823.78,815.77,8.01,True,0.98
2026-02-28,8.8,9.8,8.72,9.53,1441567.0,MMF1,8.98,8.91,0.07,True,0.79
2026-02-28,1076.0,1076.0,1076.0,1076.0,105.0,SBLD83,1063.24,1061.6,1.64,True,0.15
2026-01-31,685.0,927.0,685.0,838.0,1079558.0,MABEL,714.78,698.98,15.8,True,2.26
2026-01-31,356.1,381.5,332.2,364.0,415959.0,MKHC,359.09,358.46,0.63,True,0.18
2026-01-31,426.2,479.9,416.5,454.0,641786.0,MEHL,435.18,432.77,2.41,True,0.56
2026-01-31,428.0,465.0,412.5,449.0,212410.0,MCHL,434.35,432.48,1.88,True,0.43
2026-01-31,546.0,585.0,515.0,558.0,178470.0,MAKAR,550.39,549.42,0.98,True,0.18
2026-01-31,760.0,821.1,701.2,750.3,204378.0,MERO,750.05,750.02,0.03,True,0.0
2026-01-31,783.1,909.0,783.1,820.0,81635.0,MANDU,801.26,798.86,2.4,True,0.3
2026-01-31,384.0,412.0,373.0,400.0,282613.0,MHCL,391.82,390.77,1.05,True,0.27
2026-01-31,9.51,10.19,9.45,10.03,3201240.0,MBLEF,9.6,9.54,0.06,True,0.58
2026-01-31,488.0,550.0,480.0,521.2,691180.0,MHL,493.38,489.82,3.57,True,0.73
2026-01-31,1323.0,1582.0,1285.0,1417.5,130243.0,MLBBL,1354.91,1346.88,8.02,True,0.6
2026-01-31,770.5,881.0,754.1,838.0,223939.0,MKHL,794.64,789.08,5.56,True,0.7
2026-01-31,268.0,305.0,263.2,285.0,474754.0,MEL,272.56,270.97,1.59,True,0.59
2026-01-31,1361.2,1502.4,1347.0,1410.1,118259.0,MKCL,1373.2,1368.47,4.73,True,0.35
2026-01-31,281.0,303.0,271.7,295.3,1174311.0,MBJC,286.05,284.87,1.19,True,0.42
2026-01-31,1156.4,1229.0,1134.0,1189.9,19257.0,JSLBB,1181.72,1180.67,1.05,True,0.09
2026-01-31,970.0,1068.0,908.5,991.0,27328.0,LLBS,989.36,989.15,0.21,True,0.02
2026-01-31,270.0,310.0,249.7,299.0,3683211.0,PHCL,275.27,272.23,3.04,True,1.12
2026-01-31,1524.0,1625.0,1470.0,1539.0,35997.0,NESDO,1503.0,1498.38,4.62,True,0.31
2026-01-31,1585.1,1726.8,1540.2,1678.0,20536.0,SHLB,1601.91,1592.15,9.76,True,0.61
2026-01-31,560.0,670.0,557.2,625.1,1067379.0,SIKLES,580.84,575.16,5.67,True,0.99
2026-01-31,784.9,804.0,762.3,782.0,225244.0,SKBBL,777.83,777.29,0.53,True,0.07
2026-01-31,1740.0,2134.0,1710.1,1951.0,48759.0,SMB,1778.36,1756.23,22.13,True,1.26
2026-01-31,705.0,770.0,685.1,747.9,101107.0,SMH,715.17,710.98,4.2,True,0.59
2026-01-31,569.9,630.3,540.1,600.1,427358.0,SPHL,567.29,563.08,4.21,True,0.75
2026-01-31,820.2,961.0,798.3,913.0,64838.0,SPL,849.18,841.0,8.18,True,0.97
2026-01-31,5630.0,5750.0,5425.0,5650.0,36526.0,STC,5547.73,5534.62,13.11,True,0.24
2026-01-31,2750.0,3300.0,2736.0,3031.0,124112.0,SWASTIK,2812.55,2784.54,28.01,True,1.01
2026-01-31,681.0,722.0,662.0,688.0,76296.0,SWMF,684.73,684.31,0.42,True,0.06
2026-01-31,194.7,225.5,182.3,216.9,3584308.0,NHPC,204.74,203.59,1.15,True,0.56
2026-01-31,987.0,2255.9,973.0,1940.0,3877883.0,SYPNL,1144.73,1042.77,101.96,True,9.78
2026-01-31,705.2,900.0,698.0,800.0,426758.0,TSHL,732.91,724.31,8.6,True,1.19
2026-01-31,789.0,1173.0,767.0,1004.0,2539066.0,TTL,818.27,794.46,23.81,True,3.0
2026-01-31,396.7,561.0,377.6,548.0,741903.0,TVCL,417.91,401.23,16.68,True,4.16
2026-01-31,448.0,494.0,443.0,464.0,422055.0,UAIL,456.64,455.69,0.94,True,0.21
2026-01-31,463.0,517.0,444.5,493.0,386971.0,ULHC,470.42,467.52,2.9,True,0.62
2026-01-31,455.5,495.0,450.0,483.1,776211.0,USHEC,465.84,463.62,2.21,True,0.48
2026-01-31,1451.0,1649.9,1407.0,1489.0,167928.0,USLB,1477.55,1476.08,1.47,True,0.1
2026-01-31,565.0,652.0,547.9,596.1,364283.0,VLUCL,574.75,572.01,2.74,True,0.48
2026-01-31,1319.6,1791.9,1242.1,1566.6,82790.0,WNLB,1386.52,1363.43,23.09,True,1.69
2026-01-31,614.0,650.0,596.3,618.9,5460163.0,SHIVM,609.98,608.84,1.14,True,0.19
2026-01-31,395.0,462.0,361.0,433.0,1126093.0,SGHC,398.72,394.32,4.4,True,1.11
2026-01-31,655.0,1060.0,651.3,915.0,3332159.0,SANVI,703.91,676.85,27.06,True,4.0
2026-01-31,851.2,1690.0,837.0,1390.0,3277735.0,SAIL,949.16,892.65,56.52,True,6.33
2026-01-31,565.0,603.0,546.3,569.8,229329.0,NICLBSL,560.64,559.46,1.17,True,0.21
2026-01-31,616.0,662.9,603.0,649.0,210955.0,NIL,628.55,625.92,2.62,True,0.42
2026-01-31,9.15,9.79,9.05,9.6,243417.0,NMBHF2,9.35,9.31,0.03,True,0.35
2026-01-31,1182.0,1516.0,1182.0,1322.1,443566.0,NMIC,1218.93,1205.7,13.23,True,1.1
2026-01-31,649.0,683.0,620.0,657.5,223032.0,NMLBBL,645.64,644.12,1.52,True,0.24
