Symbol,Date,Open,High,Low,Close,Volume
ACLBSL,4/28/2023,562,571,562,571,141
ACLBSL,4/27/2023,562,571,562,571,141
ACLBSL,4/26/2023,565,579.3,565,571.2,99
ACLBSL,4/25/2023,586,586,570,571,152
ACLBSL,4/24/2023,565,583.7,555.2,575,171
ACLBSL,4/23/2023,576.1,587,575.8,575.8,246
ACLBSL,4/22/2023,585,600,585,587.5,563
ACLBSL,4/21/2023,585,600,585,587.5,563
ACLBSL,4/20/2023,585,600,585,587.5,563
ACLBSL,4/19/2023,581,592,581,585,127
ACLBSL,4/17/2023,580,600.7,580,588,"1,229.00"
ACLBSL,4/3/2023,590,590,567,570,463
ACLBSL,4/2/2023,575,586.5,571,580,288
ACLBSL,4/1/2023,575,586,575,575,750
ACLBSL,3/31/2023,575,586,575,575,750
ACLBSL,3/30/2023,575,586,575,575,750
ACLBSL,3/29/2023,590,600,580,580,846
ACLBSL,3/28/2023,564,604,564,598,"1,830.00"
ACLBSL,3/27/2023,558.6,564.9,547.5,564.9,748
ACLBSL,3/26/2023,577,577,550,570,"1,966.00"
ACLBSL,3/25/2023,577,577,570,577,511
ACLBSL,3/24/2023,577,577,570,577,511
ACLBSL,3/23/2023,577,577,570,577,511
ACLBSL,3/22/2023,587.5,587.5,577.1,578,643
ACLBSL,3/21/2023,575,589,572,587.8,"1,279.00"
ACLBSL,3/20/2023,575,589,572,587.8,"1,279.00"
ACLBSL,3/19/2023,580,585,575,585,"1,219.00"
ACLBSL,3/18/2023,588,599,580,591.6,"2,612.00"
ACLBSL,3/17/2023,588,599,580,591.6,"2,612.00"
ACLBSL,3/16/2023,588,599,580,591.6,"2,612.00"
ACLBSL,3/15/2023,610,610,580,596.7,"2,156.00"
ACLBSL,3/14/2023,592,623,592,610,839
ACLBSL,3/13/2023,615,615,593,597,"2,110.00"
ACLBSL,3/12/2023,636,644,619.6,620.1,"2,283.00"
ACLBSL,3/11/2023,620,635,614.1,635,"4,436.00"
