Symbol,Date,Open,High,Low,Close,Percent Change,Volume,52High,52Low,EMA_20,EMA_50,RSI,30D_Avg_Volume,Slope_20,Slope_50,Crossover
NBL,2026-07-27,258.4,275.3,258.4,270.0,4.49,107737.0,302.9,235.0,266.89666286669063,266.7330627916568,50.197628458498066,45315.7,0.3875514280354423,0.13673884972183714,True
MANDU,2026-07-27,858.0,858.0,819.0,839.0,-2.21,678.0,909.0,622.0,817.3162869144937,816.8434917583904,59.49074074074073,2004.4,2.290843008209322,0.7510246246216866,True
KSBBL,2026-07-24,485.0,491.0,485.0,488.6,0.74,17265.0,534.0,404.1,480.6729478240559,480.4891112933706,68.08510638297875,19898.666666666668,0.9740241042884691,0.3409548831809161,True
LBBL,2026-07-23,491.2,502.0,491.0,502.0,2.2,53082.0,555.0,433.0,488.4267926373106,488.0879797808324,64.94522691705791,34013.4,1.281371995677,0.44678646342780437,True
IGI,2026-07-23,448.0,450.0,441.0,450.0,0.45,12648.0,501.0,355.1,441.2455079305868,440.86118514700047,62.65822784810126,10168.133333333333,1.2662115978884798,0.44808331432448084,True
KBL,2026-07-23,212.0,223.9,212.0,223.0,5.19,368248.0,256.0,176.0,214.82471365112528,214.56840261972943,59.225512528473786,168126.03333333333,0.761148936255239,0.26804389987394756,True
NRN,2026-07-23,1480.0,1510.0,1480.0,1487.1,0.48,108726.0,2175.0,1280.0,1425.7600450153852,1423.7230911922006,58.30518882407121,82321.76666666666,8.188783541786552,2.8332475445178718,True
CHCL,2026-07-22,493.0,496.0,480.1,495.2,0.45,44279.0,525.0,344.0,483.8443014411014,483.5716494939752,68.81188118811883,23391.8,0.9014103550872392,0.2947504854193994,True
SANIMA,2026-07-22,365.0,372.0,362.7,367.3,0.63,59752.0,390.6,295.0,356.84604835850496,356.6098522754941,62.17494089834516,67979.06666666667,0.743426668111988,0.2426784291802619,True
HDL,2026-07-22,1181.0,1189.9,1170.2,1178.0,-0.25,30326.0,1415.7,1097.6,1157.2935815344222,1157.2092284625178,65.73033707865169,22045.733333333334,1.887686970956065,0.5965576389675334,True
EBL,2026-07-20,720.0,727.0,711.1,717.5,-0.35,39264.0,760.2,619.0,701.1283788184337,700.4925066244597,66.95526695526698,38617.0,0.46996704115636023,0.14826196517842619,True
HEIP,2026-07-16,325.0,378.0,315.3,378.0,16.31,7180.0,378.0,288.0,331.2560288422426,329.49080730229093,67.04545454545455,1439.5333333333333,0.5837226629158409,0.2102877457133218,True
RMF1,2026-07-16,10.05,10.05,9.66,10.05,0.0,49324.0,11.02,8.71,9.856731294507272,9.849218030579527,50.0,52074.26666666667,0.0002668120272836916,7.794678592603077e-05,True
NIBLGF,2026-07-16,9.21,10.91,9.21,10.91,18.46,39150.0,11.81,8.1,9.520728158663747,9.466029672362994,67.66917293233081,5004.0,0.029687610989090986,0.010671812100348533,True
SAGF,2026-07-15,10.0,10.3,10.0,10.3,3.0,5790.0,11.31,8.79,10.153254569358305,10.15092902091378,54.54545454545457,3339.5,0.0007358951288068738,0.0003727405086642932,True
DLBS,2026-07-02,1235.0,1472.0,1235.0,1472.0,19.19,5030.0,1495.0,927.0,1305.3662369582464,1302.179013173596,65.86516511946431,863.8666666666667,7.248682886965798,2.427499482359053,True
SBID83,2026-06-26,1070.0,1093.3,1070.0,1093.3,2.18,850.0,1226.0,1027.0,1070.1553871780025,1069.2277720974766,66.39629200463497,232.36666666666667,0.30635517457071726,0.12474220029616845,True
MMF1,2026-06-17,9.55,9.84,9.35,9.58,0.31,22200.0,10.16,8.27,9.512546786562774,9.509072095339816,52.727272727272656,20955.7,0.0054596865564334966,0.001947117496550277,True
SFMF,2026-06-16,10.9,10.9,10.9,10.9,0.0,2000.0,11.01,8.96,10.434695814193725,10.408209267927298,59.90099009900991,5827.1,0.024021235127097994,0.008622952444749999,True
GRDBL,2026-06-12,1055.1,1225.7,1050.4,1209.0,14.59,47207.0,1320.0,911.0,1082.1152169495663,1080.4856072082514,68.16443594646273,14945.1,1.8080188001097213,0.5065166675560704,True
NICSF,2026-06-11,9.25,9.45,9.25,9.45,2.16,18600.0,9.97,8.04,9.333741030045031,9.326842898398466,53.237410071942435,16681.466666666667,0.010616880520975869,0.0037281715478666654,True
CSY,2026-06-08,9.41,9.47,9.21,9.47,0.64,20197.0,10.0,8.01,9.390295991546898,9.388350859629508,55.944055944055954,8707.966666666667,0.009403096160582436,0.003009680663011238,True
NICAD2091,2026-06-03,1065.0,1065.0,1065.0,1065.0,0.0,25.0,1106.0,1005.2,1061.7121241809843,1061.6342757660939,56.01941747572813,81.53333333333333,0.6849095203970592,0.2581390807535172,True
SPIL,2026-06-03,745.0,760.0,730.0,745.1,0.01,32211.0,770.7,560.1,716.6553705646654,716.3074328751916,69.68876860622464,6033.266666666666,1.4079755309684514,0.46393301399791653,True
LVF2,2026-05-27,10.0,10.3,10.0,10.0,0.0,3900.0,10.3,8.76,9.83178038107625,9.831252813964419,64.74358974358978,6549.533333333334,0.01407823707118574,0.004662165982564304,True
NICFC,2026-05-26,9.27,9.55,9.27,9.55,3.02,4000.0,9.89,8.37,9.391371250913645,9.385415386190418,56.30252100840336,6374.533333333334,0.007623204547828522,0.002595149582793965,True
TRH,2026-05-26,763.0,765.0,760.0,765.0,0.26,2471.0,867.0,681.1,759.07402498839,758.9106084205863,51.503006012024045,1767.6666666666667,0.24909576479929002,0.09086502065256355,True
GBBD85,2026-05-20,1100.0,1107.18,1100.0,1107.18,0.65,825.0,1135.0,1036.5,1082.6107886813877,1082.3217011048002,65.32917802882747,119.26666666666667,0.463334587086365,0.13507174740921074,True
TAMOR,2026-05-18,442.0,452.0,442.0,447.2,1.18,48554.0,550.0,396.4,440.8872920283146,440.72565095560566,57.86618444846292,70262.63333333333,0.579390746806655,0.19251675170706903,True
SBID2090,2026-05-14,1098.0,1120.0,1098.0,1120.0,2.0,429.0,1184.5,1000.0,1069.3312745107628,1068.0895347205746,66.16379310344824,265.8333333333333,2.2565719645413536,0.7363936463325444,True
KSY,2026-05-13,9.45,9.75,9.45,9.75,3.17,1400.0,10.26,8.21,9.593812696253682,9.589981012263626,55.72916666666669,3494.7,0.004010396740897449,0.0010420738865867917,True
GBIMESY2,2026-05-12,9.22,9.49,9.22,9.49,2.93,1800.0,10.78,8.5,9.427869258995132,9.42737737710376,46.961325966850836,4757.666666666667,0.0022316115629717357,0.0008561959971270739,True
SBL,2026-05-11,394.0,397.0,393.0,395.1,0.28,54640.0,460.0,320.5,391.93695307776846,391.8159587196768,58.87445887445892,108639.76666666666,0.06265603895823232,0.018821061134667617,True
SEF,2026-05-11,10.0,10.14,10.0,10.14,1.4,26700.0,11.53,8.6,9.95315094932896,9.943320419222818,55.71428571428573,16374.0,0.0029636817572431086,0.0012302840529390124,True
NIBLSTF,2026-05-11,9.47,9.66,9.3,9.6,1.37,6800.0,10.85,8.0,9.275423516628221,9.274867770579425,65.83333333333326,22621.9,0.017119350592588845,0.00524889088638183,True
JHAPA,2026-04-23,1523.8,1692.0,1500.0,1612.0,5.79,40339.0,1929.0,293.4,1409.8049279021084,1405.836838796225,66.11547085201792,14484.766666666666,9.893943862790092,3.1213818693350732,True
